reactome ,Pathway name,#Entities found,#Entities total,#Interactors found,#Interactors total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,col1,Species identifier,Species name,Submitted entities found,Mapped entities,Submitted entities hit interactor,Interacts with,Found reaction identifiers
R-ATH-1119331,Cysteine biosynthesis I,9,9,0,0,0.007389162562,0.1902444916,0.9996689194,2,2,0.002699055331,-0.01013967767,3702,Arabidopsis thaliana,AT5G56760;AT3G13110;AT3G22460;AT3G59760;AT2G17640;AT4G35640;AT2G43750;AT4G14880;AT1G55920,AT5G56760;AT3G13110;AT3G22460;AT3G59760;AT2G17640;AT4G35640;AT2G43750;AT4G14880;AT1G55920,,,R-ATH-1121623;R-ATH-1120367
R-ATH-1119261,Salicylate biosynthesis,6,6,0,0,0.004926108374,0.251752561,0.9996689194,2,2,0.002699055331,0.671862162,3702,Arabidopsis thaliana,AT5G04230;AT3G10340;AT1G18870;AT2G37040;AT1G74710;AT3G53260,AT5G04230;AT3G10340;AT1G18870;AT2G37040;AT1G74710;AT3G53260,,,R-ATH-6787270;R-ATH-1120727
R-ATH-1119291,Nitrate assimilation,5,5,0,0,0.004105090312,0.2792930621,0.9996689194,2,2,0.002699055331,0.2876909312,3702,Arabidopsis thaliana,AT5G37600;AT1G48470;AT1G37130;AT1G77760;AT1G66200,AT5G37600;AT1G48470;AT1G37130;AT1G77760;AT1G66200,,,R-ATH-5683289;R-ATH-1121516
R-ATH-9640882,Assembly of pre-replication complex,5,5,0,0,0.004105090312,0.2792930621,0.9996689194,1,1,0.001349527665,0.142621717,3702,Arabidopsis thaliana,AT1G26840;AT4G29910;AT5G16690;AT2G37560;AT2G01120,AT1G26840;AT4G29910;AT5G16690;AT2G37560;AT2G01120,,,R-ATH-9640870
R-ATH-1119495,Citrulline biosynthesis,8,9,0,0,0.007389162562,0.3047162583,0.9996689194,5,5,0.006747638327,-0.09467067375,3702,Arabidopsis thaliana,AT2G39800;AT3G55610;AT5G10240;AT3G27740;AT4G08900;AT5G65010;AT4G08870;AT3G30775,AT2G39800;AT3G55610;AT5G10240;AT3G27740;AT4G08900;AT5G65010;AT4G08870;AT3G30775,,,R-ATH-1120144;R-ATH-1120178;R-ATH-1121416;R-ATH-1120114;R-ATH-1120116
R-ATH-1119314,Cellulose biosynthesis,8,9,0,0,0.007389162562,0.3047162583,0.9996689194,1,1,0.001349527665,0.3477890579,3702,Arabidopsis thaliana,AT2G33100;AT1G02730;AT5G44030;AT5G05170;AT3G03050;AT5G17420;AT4G18780;AT5G16910,AT2G33100;AT1G02730;AT5G44030;AT5G05170;AT3G03050;AT5G17420;AT4G18780;AT5G16910,,,R-ATH-1120592
R-ATH-1119286,"Cholesterol biosynthesis II (via 24,25-dihydrolanosterol)",5,5,2,3,0.004105090312,0.3361133459,0.9996689194,9,9,0.01214574899,0.07562197157,3702,Arabidopsis thaliana,AT2G29390;AT1G20050;AT1G07420;AT4G34650;AT4G34640,AT2G29390;AT1G20050;AT1G07420;AT4G34650;AT4G34640,AT1G22780;AT2G47170,AT1G20050,R-ATH-1119792;R-ATH-1121434;R-ATH-1120373;R-ATH-1120987;R-ATH-1119821;R-ATH-1120616;R-ATH-1119717;R-ATH-1121645;R-ATH-1119795
R-ATH-1119559,Cholesterol biosynthesis I,5,5,2,3,0.004105090312,0.3361133459,0.9996689194,4,4,0.005398110661,0.07562197157,3702,Arabidopsis thaliana,AT2G29390;AT1G20050;AT1G07420;AT4G34650;AT4G34640,AT2G29390;AT1G20050;AT1G07420;AT4G34650;AT4G34640,AT1G22780;AT2G47170,AT1G20050,R-ATH-1119792;R-ATH-1121173;R-ATH-1119749;R-ATH-1120616
R-ATH-1119439,Cholesterol biosynthesis III (via desmosterol),5,5,2,3,0.004105090312,0.3361133459,0.9996689194,4,4,0.005398110661,0.07562197157,3702,Arabidopsis thaliana,AT2G29390;AT1G20050;AT1G07420;AT4G34650;AT4G34640,AT2G29390;AT1G20050;AT1G07420;AT4G34650;AT4G34640,AT1G22780;AT2G47170,AT1G20050,R-ATH-1119792;R-ATH-1121173;R-ATH-1119749;R-ATH-1120616
R-ATH-1119354,Asparagine biosynthesis III,3,3,0,0,0.002463054187,0.3544708434,0.9996689194,2,2,0.002699055331,-0.476270532,3702,Arabidopsis thaliana,AT5G10240;AT3G47340;AT5G65010,AT5G10240;AT3G47340;AT5G65010,,,R-ATH-1120764;R-ATH-1120477
