"Source Name","Sample Name.x","Characteristics: organism","Factor Value: Spaceflight.x","Factor Value: Ecotype.x","Characteristics: genotype.x","Characteristics: Material Type.x","Characteristics: age.x","Characteristics: Seed Source.x","Protocol REF...10.x","Parameter Value: Canister and Position","Parameter Value: Hardware.x","Parameter Value: Growth Temperature.x","Parameter Value: growth environment.x","Parameter Value: Growth Medium.x","Parameter Value: light source.x","Parameter Value: light cycle.x","Parameter Value: Growth Time.x","Parameter Value: Quantity of Growth Medium","Parameter Value: container","Parameter Value: Number of seeds per container.x","Parameter Value: Container Diameter","Protocol REF...23.x","Parameter Value: Sample storage temperature.x","Parameter Value: Age at sample collection","Parameter Value: Sample Preservation Method.x","Comment: Original Submitted Sample Name.x","Sample Name.y","Comment: Original Submitted Sample Name.y","Characteristics: Organism.x","Characteristics: Material Type.y","Characteristics: Variety","Characteristics: genotype.y","Characteristics: developmental stage","Characteristics: age.y","Characteristics: Seed Source.y","Protocol REF...11","Factor Value: Spaceflight.y","Parameter Value: Hardware.y","Comment: Initiation Date","Comment: Completion Date","Parameter Value: light source.y","Parameter Value: Growth Temperature.y","Parameter Value: Growth Medium.y","Parameter Value: Light quality","Parameter Value: Light intensity.x","Parameter Value: light cycle.y","Parameter Value: Growth Time.y","Protocol REF...23.y","Parameter Value: sample preservation temperature","Factor Value: Sample Preservation Method","Sample Name.x","Characteristics: Organism.y","Factor Value: Ecotype.y","Factor Value: Spaceflight.x","Factor Value: Treatment","Characteristics: organism part","Characteristics: Seed Source.x","Characteristics: stratification exposure","Protocol REF...10.y","Parameter Value: light source.x","Parameter Value: Hardware.x","Parameter Value: growth environment.y","Parameter Value: Growth Time.x","Protocol REF...15.x","Parameter Value: Sample Preservation Method.y","Parameter Value: Sample Storage Temperature.x","Sample Name.y","Characteristics: Organism.x","Characteristics: ecotype.x","Factor Value: Organism Part","Factor Value: Spaceflight.y","Characteristics: Material Type.x","Protocol REF...8","Parameter Value: light source.y","Parameter Value: Light intensity.y","Parameter Value: Hardware.y","Parameter Value: growth environment.x","Parameter Value: growth time","Protocol REF...14","Protocol REF...15.y","Parameter Value: Age at harvest","Parameter Value: Sample preservation method","Parameter Value: Sample storage temperature.y","Comment: Seed source","Comment: Sample name notes","Comment: Original Submitted Sample Name","Sample Name","Characteristics: Organism.y","Characteristics: ecotype.y","Characteristics: Seed Source.y","Characteristics: Material Type.y","Characteristics: Launch Mission","Factor Value: Spaceflight","Factor Value: Genotype","Protocol REF...10","Parameter Value: Hardware","Parameter Value: light cycle","Parameter Value: growth environment.y","Parameter Value: Growth Medium","Parameter Value: Growth Time.y","Parameter Value: Quantity of growth medium","Parameter Value: Number of seeds per container.y","Parameter Value: light regimen","Protocol REF...19","Comment: Sample Description","Protocol REF...21","Parameter Value: Sample Preservation Method","Parameter Value: Sample Storage Temperature.y","Protocol REF...24","Parameter Value: ionizing radiation","Parameter Value: vehicle","Parameter Value: absorbed radiation dose","Parameter Value: absorbed radiation dose rate","Parameter Value: exposure duration","Parameter Value: ionizing radiation categorized by source"
"28_FA5_S36_L004_R1_001 (bzip28F_1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSM4486031","Arabidopsis thaliana","Col-0","see growth protocol description","Seedlings","SpaceX-12","Space Flight","bzip28-2","growth protocol","BRIC-PDFU (Petri Dish Fixation Unit)","24 dark hour","ISS-US Laboratory","1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7","14 day","6.7 milliliter","70-80","continuous dark (no light) regimen","treatment protocol","bzip28-2_Space flight_whole seedlings","sample collection","RNALater","-80 degree Celsius","radiation dosimetry","space radiation","ISS-US Laboratory","3.007 milligray","0.231 milligray per day","13 day","outer space"
"28_FB1_S10_L001_R1_001 (bzip28F_2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSM4486032","Arabidopsis thaliana","Col-0","see growth protocol description","Seedlings","SpaceX-12","Space Flight","bzip28-2","growth protocol","BRIC-PDFU (Petri Dish Fixation Unit)","24 dark hour","ISS-US Laboratory","1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7","14 day","6.7 milliliter","70-80","continuous dark (no light) regimen","treatment protocol","bzip28-2_Space flight_whole seedlings","sample collection","RNALater","-80 degree Celsius","radiation dosimetry","space radiation","ISS-US Laboratory","3.007 milligray","0.231 milligray per day","13 day","outer space"
"28_FC5_S21_L002_R1_001 (bzip28F_3)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSM4486033","Arabidopsis thaliana","Col-0","see growth protocol description","Seedlings","SpaceX-12","Space Flight","bzip28-2","growth protocol","BRIC-PDFU (Petri Dish Fixation Unit)","24 dark hour","ISS-US Laboratory","1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7","14 day","6.7 milliliter","70-80","continuous dark (no light) regimen","treatment protocol","bzip28-2_Space flight_whole seedlings","sample collection","RNALater","-80 degree Celsius","radiation dosimetry","space radiation","ISS-US Laboratory","3.007 milligray","0.231 milligray per day","13 day","outer space"
"28_FD5_S17_L002_R1_001 (bzip28F_4)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSM4486034","Arabidopsis thaliana","Col-0","see growth protocol description","Seedlings","SpaceX-12","Space Flight","bzip28-2","growth protocol","BRIC-PDFU (Petri Dish Fixation Unit)","24 dark hour","ISS-US Laboratory","1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7","14 day","6.7 milliliter","70-80","continuous dark (no light) regimen","treatment protocol","bzip28-2_Space flight_whole seedlings","sample collection","RNALater","-80 degree Celsius","radiation dosimetry","space radiation","ISS-US Laboratory","3.007 milligray","0.231 milligray per day","13 day","outer space"
"28_GA5_S43_L004_R1_001 (bzip28G_1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSM4486035","Arabidopsis thaliana","Col-0","see growth protocol description","Seedlings","Not Applicable","Ground Control","bzip28-2","growth protocol","BRIC-PDFU (Petri Dish Fixation Unit)","24 dark hour","ISS Environmental Simulator","1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7","14 day","6.7 milliliter","70-80","continuous dark (no light) regimen","treatment protocol","bzip28-2_Ground_whole seedlings","sample collection","RNALater","-80 degree Celsius","radiation dosimetry","non-irradiated","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"28_GB1_S35_L004_R1_001 (bzip28G_2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSM4486036","Arabidopsis thaliana","Col-0","see growth protocol description","Seedlings","Not Applicable","Ground Control","bzip28-2","growth protocol","BRIC-PDFU (Petri Dish Fixation Unit)","24 dark hour","ISS Environmental Simulator","1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7","14 day","6.7 milliliter","70-80","continuous dark (no light) regimen","treatment protocol","bzip28-2_Ground_whole seedlings","sample collection","RNALater","-80 degree Celsius","radiation dosimetry","non-irradiated","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"28_GC5_S30_L003_R1_001 (bzip28G_3)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSM4486037","Arabidopsis thaliana","Col-0","see growth protocol description","Seedlings","Not Applicable","Ground Control","bzip28-2","growth protocol","BRIC-PDFU (Petri Dish Fixation Unit)","24 dark hour","ISS Environmental Simulator","1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7","14 day","6.7 milliliter","70-80","continuous dark (no light) regimen","treatment protocol","bzip28-2_Ground_whole seedlings","sample collection","RNALater","-80 degree Celsius","radiation dosimetry","non-irradiated","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"28_GD5_S27_L003_R1_001 (bzip28G_4)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSM4486038","Arabidopsis thaliana","Col-0","see growth protocol description","Seedlings","Not Applicable","Ground Control","bzip28-2","growth protocol","BRIC-PDFU (Petri Dish Fixation Unit)","24 dark hour","ISS Environmental Simulator","1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7","14 day","6.7 milliliter","70-80","continuous dark (no light) regimen","treatment protocol","bzip28-2_Ground_whole seedlings","sample collection","RNALater","-80 degree Celsius","radiation dosimetry","non-irradiated","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"60_FA2_S3_L001_R1_001 (bzip60F_1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSM4486039","Arabidopsis thaliana","Col-0","see growth protocol description","Seedlings","SpaceX-12","Space Flight","bzip60-2","growth protocol","BRIC-PDFU (Petri Dish Fixation Unit)","24 dark hour","ISS-US Laboratory","1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7","14 day","6.7 milliliter","70-80","continuous dark (no light) regimen","treatment protocol","bzip60-2_Space flight_whole seedlings","sample collection","RNALater","-80 degree Celsius","radiation dosimetry","space radiation","ISS-US Laboratory","3.007 milligray","0.231 milligray per day","13 day","outer space"
"60_FB3_S2_L001_R1_001 (bzip60F_2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSM4486040","Arabidopsis thaliana","Col-0","see growth protocol description","Seedlings","SpaceX-12","Space Flight","bzip60-2","growth protocol","BRIC-PDFU (Petri Dish Fixation Unit)","24 dark hour","ISS-US Laboratory","1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7","14 day","6.7 milliliter","70-80","continuous dark (no light) regimen","treatment protocol","bzip60-2_Space flight_whole seedlings","sample collection","RNALater","-80 degree Celsius","radiation dosimetry","space radiation","ISS-US Laboratory","3.007 milligray","0.231 milligray per day","13 day","outer space"
